date,context,session,score,confidence,warmth,body,presence,verbal,unexpected,curiosity,attunement
2026-08-11,networking,s1-dana-rail-take1,54,42,62,68,30,58,55,25,45
2026-08-11,networking,s1-dana-rail-take2,57,60,66,62,25,52,58,22,40
2026-08-11,networking,s3-what-do-you-do-take1,63,62,65,72,45,55,70,30,55
2026-08-11,networking,s4-risk-pivot-take1,66,66,48,74,55,60,45,78,62
2026-08-11,networking,s4-layer2-take1,71,72,74,70,35,66,62,85,38
2026-08-11,networking,s4-layer3-take1,72,80,62,66,48,58,78,70,68
2026-08-11,networking,s4-layer3-take2,76,55,58,82,78,50,52,90,84
2026-08-11,networking,s12-exit-take1,74,84,35,45,42,88,82,20,38
2026-08-14,networking,s2-cold-intro-take1,44,58,44,62,35,48,42,22,30
2026-08-14,networking,s2-cold-intro-take2,60,66,56,63,34,70,74,62,58
2026-08-14,networking,s2-cold-intro-take3,50,52,60,55,30,55,64,28,38
2026-08-14,networking,s2-cold-intro-take4,68,72,75,60,68,70,38,45,50
2026-08-14,networking,s2-cold-intro-take5,57,58,52,45,42,55,48,60,62
2026-08-14,networking,s2-cold-intro-take6,61,62,45,55,55,52,62,66,55
2026-08-14,networking,s2-cold-intro-take7,67,66,62,58,52,60,58,74,72
2026-08-14,networking,s2-cold-intro-take8,61,60,58,62,70,48,40,58,55
2026-08-14,networking,s2-cold-intro-take9,74,68,62,68,76,66,50,76,74
